nombre_carrera,universidad,tipo_universidad,ciudad,comunidad_autonoma,modalidad,duracion_años,creditos_ects,rama_conocimiento,nota_corte,plazas,idioma,url_info
Grado en Arqueología,Universidad Alfonso X el Sabio,Privada,Villanueva de la Cañada,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.4,50,Español,https://www.uax.es
Grado en Arqueología,Universidad Católica de Murcia (UCAM),Privada,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,9.3,50,Español/Inglés,https://www.ucam.edu
Grado en Arqueología,Universidad Francisco de Vitoria,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.0,55,Español/Inglés,https://www.ufv.es
Grado en Arqueología,Universidad Internacional de Cataluña,Privada,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,9.2,25,Español/Inglés,https://www.uic.es
Grado en Arqueología,Universidad Miguel Hernández,Pública,Elche,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,7.6,60,Valenciano/Español,https://www.umh.es
Grado en Arqueología,Universidad Rovira i Virgili,Pública,Tarragona,Cataluña,Presencial,4,240,Artes y Humanidades,10.0,80,Catalán/Español,https://www.urv.cat
Grado en Arqueología,Universidad de A Coruña,Pública,A Coruña,Galicia,Presencial,4,240,Artes y Humanidades,8.9,45,Gallego/Español,https://www.udc.es
Grado en Arqueología,Universidad de Alcalá,Pública,Alcalá de Henares,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,8.5,40,Español,https://www.uah.es
Grado en Arqueología,Universidad de Barcelona,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,10.2,90,Catalán/Español,https://www.ub.edu
Grado en Arqueología,Universidad de Burgos,Pública,Burgos,Castilla y León,Presencial,4,240,Artes y Humanidades,8.8,90,Español,https://www.ubu.es
Grado en Arqueología,Universidad de Granada,Pública,Granada,Andalucía,Presencial,4,240,Artes y Humanidades,9.0,50,Español,https://www.ugr.es
